STN,YYYYMMDD,TG,TN,TX,RH,DR,FG,Q,year,month,day
260,2009-01-01,-0.6,-2.8,0.5,0.0,0.0,1.6,81,2009,1,1
260,2009-01-02,-0.8,-7.2,1.9,0.5,0.6,2.2,146,2009,1,2
260,2009-01-03,-2.7,-8.9,1.6,-0.1,0.0,1.9,90,2009,1,3
260,2009-01-04,2.3,1.3,3.5,4.0,10.4,3.8,78,2009,1,4
260,2009-01-05,-1.2,-4.6,1.5,2.1,3.8,5.2,311,2009,1,5
260,2009-01-06,-5.9,-9.6,-1.3,0.0,0.0,2.1,483,2009,1,6
260,2009-01-07,-0.8,-6.7,3.5,0.2,1.1,2.0,204,2009,1,7
260,2009-01-08,-4.5,-7.3,-3.1,-0.1,0.0,2.0,133,2009,1,8
260,2009-01-09,-6.9,-10.3,-1.6,-0.1,0.0,0.9,439,2009,1,9
260,2009-01-10,-6.8,-10.5,-3.6,0.0,0.0,2.1,496,2009,1,10
260,2009-01-11,-1.1,-6.0,2.4,0.0,0.0,4.1,459,2009,1,11
260,2009-01-12,3.9,1.4,5.8,2.4,3.6,6.2,208,2009,1,12
260,2009-01-13,4.6,3.9,5.2,4.0,8.3,4.2,69,2009,1,13
260,2009-01-14,4.1,2.5,6.3,-0.1,0.0,2.6,207,2009,1,14
260,2009-01-15,2.6,1.0,5.0,0.0,0.0,3.3,441,2009,1,15
260,2009-01-16,1.7,0.1,3.7,-0.1,0.0,3.9,177,2009,1,16
260,2009-01-17,5.0,2.8,7.5,0.7,1.5,5.1,113,2009,1,17
260,2009-01-18,5.5,2.1,7.7,5.4,3.0,6.1,93,2009,1,18
260,2009-01-19,4.8,2.1,8.8,4.1,5.8,6.5,89,2009,1,19
260,2009-01-20,4.0,1.8,6.4,0.9,0.7,4.8,320,2009,1,20
260,2009-01-21,3.4,1.2,5.6,0.0,0.0,3.5,239,2009,1,21
260,2009-01-22,4.0,1.6,6.2,6.8,10.0,6.4,90,2009,1,22
260,2009-01-23,5.1,3.7,7.7,22.6,16.1,5.9,78,2009,1,23
260,2009-01-24,4.0,0.9,6.1,-0.1,0.0,3.2,258,2009,1,24
260,2009-01-25,2.2,-0.2,5.0,0.0,0.0,4.8,460,2009,1,25
260,2009-01-26,1.3,-2.3,5.6,0.0,0.0,3.3,475,2009,1,26
260,2009-01-27,-0.5,-4.1,3.8,0.0,0.0,2.0,523,2009,1,27
260,2009-01-28,-1.0,-4.7,2.8,0.0,0.0,2.8,567,2009,1,28
260,2009-01-29,-1.2,-3.9,2.5,0.0,0.0,2.6,654,2009,1,29
260,2009-01-30,0.1,-4.4,5.1,0.0,0.0,4.0,623,2009,1,30
260,2009-01-31,0.1,-2.6,3.2,0.0,0.0,5.8,651,2009,1,31
260,2009-02-01,-1.3,-2.5,1.1,-0.1,0.0,6.7,515,2009,2,1
260,2009-02-02,1.4,-1.9,3.5,-0.1,0.0,6.5,170,2009,2,2
260,2009-02-03,2.2,0.3,4.0,2.4,6.6,2.6,120,2009,2,3
260,2009-02-04,0.4,0.0,0.8,-0.1,0.0,1.4,105,2009,2,4
260,2009-02-05,3.3,-0.5,6.6,3.0,2.8,3.1,227,2009,2,5
260,2009-02-06,4.1,1.0,9.2,-0.1,0.0,2.1,503,2009,2,6
260,2009-02-07,2.9,1.1,5.2,3.0,4.2,2.7,304,2009,2,7
260,2009-02-08,1.3,-0.7,4.3,1.7,1.6,2.6,417,2009,2,8
260,2009-02-09,2.6,-0.3,4.7,9.8,7.8,4.3,138,2009,2,9
260,2009-02-10,3.8,1.2,7.6,8.2,8.2,4.8,79,2009,2,10
260,2009-02-11,2.4,-1.0,6.2,2.3,2.2,3.3,461,2009,2,11
260,2009-02-12,1.6,-0.9,5.1,0.5,0.6,2.4,690,2009,2,12
260,2009-02-13,1.7,0.4,3.0,2.3,4.3,2.3,216,2009,2,13
260,2009-02-14,-0.6,-4.2,4.0,0.0,0.0,1.8,769,2009,2,14
260,2009-02-15,1.5,-4.5,4.8,3.3,7.2,3.2,290,2009,2,15
260,2009-02-16,6.1,4.7,9.2,5.9,9.0,3.1,418,2009,2,16
260,2009-02-17,4.0,-0.9,6.5,3.8,7.7,3.6,174,2009,2,17
260,2009-02-18,-0.4,-3.3,3.1,0.0,0.0,2.2,632,2009,2,18
260,2009-02-19,1.8,-2.0,4.7,1.0,3.9,2.3,199,2009,2,19
260,2009-02-20,5.2,4.0,6.5,0.6,2.0,2.9,221,2009,2,20
260,2009-02-21,5.5,3.1,8.5,0.0,0.0,2.4,386,2009,2,21
260,2009-02-22,6.6,5.4,8.8,0.5,1.7,3.3,281,2009,2,22
260,2009-02-23,6.1,3.9,7.7,0.7,2.2,3.8,349,2009,2,23
260,2009-02-24,4.1,1.8,5.9,0.0,0.0,2.3,342,2009,2,24
260,2009-02-25,4.9,2.5,6.7,0.6,1.8,3.6,209,2009,2,25
260,2009-02-26,6.8,5.5,8.3,1.6,3.8,4.7,614,2009,2,26
260,2009-02-27,7.4,6.2,8.6,3.4,10.6,3.3,188,2009,2,27
260,2009-02-28,7.2,2.0,9.4,0.5,2.2,2.3,342,2009,2,28
260,2009-03-01,6.5,-0.7,10.7,0.5,1.3,3.1,654,2009,3,1
260,2009-03-02,5.4,2.0,9.0,0.0,0.0,3.0,555,2009,3,2
260,2009-03-03,5.8,1.8,8.8,-0.1,0.0,4.5,273,2009,3,3
260,2009-03-04,6.0,4.4,6.8,0.1,0.6,5.5,256,2009,3,4
260,2009-03-05,4.5,0.3,7.4,0.3,2.7,3.0,551,2009,3,5
260,2009-03-06,5.0,2.1,7.3,0.4,2.0,4.6,619,2009,3,6
260,2009-03-07,4.4,-3.2,8.9,0.2,0.6,3.0,862,2009,3,7
260,2009-03-08,7.4,2.8,10.3,6.8,6.4,6.0,1024,2009,3,8
260,2009-03-09,5.8,2.9,7.8,0.3,0.8,5.2,304,2009,3,9
260,2009-03-10,5.6,4.5,7.7,4.9,6.1,3.8,219,2009,3,10
260,2009-03-11,6.7,3.0,10.0,-0.1,0.0,3.1,995,2009,3,11
260,2009-03-12,8.0,6.3,10.0,2.9,6.0,4.3,212,2009,3,12
260,2009-03-13,7.7,4.2,12.6,0.0,0.0,2.3,998,2009,3,13
260,2009-03-14,8.9,7.2,12.0,1.6,2.9,3.5,484,2009,3,14
260,2009-03-15,8.2,6.1,11.3,0.0,0.0,3.8,725,2009,3,15
260,2009-03-16,8.0,6.4,10.5,0.0,0.0,2.0,754,2009,3,16
260,2009-03-17,7.2,-0.1,11.9,0.0,0.0,2.8,1322,2009,3,17
260,2009-03-18,4.5,-1.6,11.7,0.0,0.0,1.4,1199,2009,3,18
260,2009-03-19,7.0,3.3,11.6,0.0,0.0,3.3,1325,2009,3,19
260,2009-03-20,4.4,-1.1,10.6,0.0,0.0,2.5,1628,2009,3,20
260,2009-03-21,4.9,-3.1,12.0,0.0,0.0,1.8,1609,2009,3,21
260,2009-03-22,8.1,4.9,11.0,-0.1,0.0,4.3,1150,2009,3,22
260,2009-03-23,7.0,4.0,8.9,5.8,3.1,5.6,410,2009,3,23
260,2009-03-24,5.0,2.7,8.5,0.8,1.1,4.3,1348,2009,3,24
260,2009-03-25,5.9,3.7,9.1,8.7,8.1,5.0,700,2009,3,25
260,2009-03-26,7.3,4.9,9.6,4.8,8.3,4.8,297,2009,3,26
260,2009-03-27,6.8,4.9,9.6,1.3,1.0,5.3,1071,2009,3,27
260,2009-03-28,6.1,4.5,10.5,8.8,8.8,2.8,790,2009,3,28
260,2009-03-29,5.7,1.2,9.5,-0.1,0.0,2.6,1035,2009,3,29
260,2009-03-30,5.0,-0.4,10.9,0.0,0.0,1.8,1610,2009,3,30
260,2009-03-31,7.3,-1.7,14.8,0.0,0.0,2.2,1747,2009,3,31
260,2009-04-01,9.7,4.1,15.2,0.0,0.0,4.3,1708,2009,4,1
260,2009-04-02,11.9,5.9,18.5,0.0,0.0,4.5,1841,2009,4,2
260,2009-04-03,13.3,4.2,22.3,0.0,0.0,2.0,1723,2009,4,3
260,2009-04-04,9.6,6.4,12.6,0.0,0.0,3.3,499,2009,4,4
260,2009-04-05,9.4,6.3,15.4,0.0,0.0,2.0,1202,2009,4,5
260,2009-04-06,12.4,4.0,19.3,0.0,0.0,2.9,1631,2009,4,6
260,2009-04-07,10.6,7.4,13.3,-0.1,0.0,2.8,562,2009,4,7
260,2009-04-08,8.9,3.3,12.4,2.2,3.8,4.6,659,2009,4,8
260,2009-04-09,10.7,2.9,17.3,0.1,0.5,2.7,736,2009,4,9
260,2009-04-10,17.3,11.4,23.7,0.2,0.2,4.4,1707,2009,4,10
260,2009-04-11,16.7,11.6,21.4,0.2,0.5,2.1,1266,2009,4,11
260,2009-04-12,14.0,8.6,18.6,5.8,1.3,2.3,1096,2009,4,12
260,2009-04-13,11.6,6.9,18.1,0.0,0.0,2.4,1806,2009,4,13
260,2009-04-14,13.0,6.5,19.3,0.0,0.0,2.6,1751,2009,4,14
260,2009-04-15,17.3,9.1,23.6,-0.1,0.0,3.8,1954,2009,4,15
260,2009-04-16,14.5,9.8,19.0,0.3,1.0,2.5,1183,2009,4,16
260,2009-04-17,12.6,8.6,17.8,2.3,2.9,3.7,1473,2009,4,17
260,2009-04-18,11.9,5.1,18.6,0.0,0.0,5.0,2264,2009,4,18
260,2009-04-19,11.7,5.9,17.9,0.0,0.0,2.5,1662,2009,4,19
260,2009-04-20,13.1,3.9,20.3,0.0,0.0,3.0,2132,2009,4,20
260,2009-04-21,12.3,5.6,18.6,0.0,0.0,2.8,2301,2009,4,21
260,2009-04-22,10.1,5.3,15.0,0.0,0.0,3.3,2304,2009,4,22
260,2009-04-23,9.9,4.5,16.1,0.0,0.0,2.0,1755,2009,4,23
260,2009-04-24,12.4,3.9,18.8,0.0,0.0,4.0,2304,2009,4,24
260,2009-04-25,13.9,7.7,20.2,-0.1,0.0,3.6,1808,2009,4,25
260,2009-04-26,13.3,10.1,17.7,2.8,4.4,1.7,1099,2009,4,26
260,2009-04-27,11.7,8.3,16.4,4.4,4.4,4.0,1475,2009,4,27
260,2009-04-28,9.2,3.2,12.6,1.6,4.4,2.3,638,2009,4,28
260,2009-04-29,9.9,2.4,16.7,0.0,0.0,1.8,1592,2009,4,29
260,2009-04-30,12.4,2.8,19.4,0.0,0.0,2.1,2097,2009,4,30
260,2009-05-01,14.3,7.3,22.3,0.0,0.0,2.0,2120,2009,5,1
260,2009-05-02,12.7,5.7,18.7,0.0,0.0,2.3,1585,2009,5,2
260,2009-05-03,9.3,4.6,14.4,0.4,1.6,2.9,1196,2009,5,3
260,2009-05-04,10.1,2.4,14.7,0.6,1.5,3.0,1913,2009,5,4
260,2009-05-05,11.7,9.0,13.2,8.1,11.2,4.2,611,2009,5,5
260,2009-05-06,13.1,10.6,16.1,3.7,5.6,4.8,723,2009,5,6
260,2009-05-07,12.8,8.5,17.5,0.0,0.0,3.9,1259,2009,5,7
260,2009-05-08,12.0,7.9,17.7,1.5,0.5,4.9,1578,2009,5,8
260,2009-05-09,11.5,5.3,16.8,0.0,0.0,2.3,1949,2009,5,9
260,2009-05-10,13.6,5.2,20.4,0.0,0.0,2.7,2500,2009,5,10
260,2009-05-11,11.8,6.2,17.4,0.0,0.0,6.3,2316,2009,5,11
